,bids_price,bids_qty,asks_price,asks_qty
459,9450.54000000,0.00333300,9523.67000000,0.00787500
460,9450.52000000,0.00111100,9523.78000000,0.00172700
461,9450.50000000,0.04835100,9523.83000000,0.01921200
462,9450.47000000,0.00503500,9523.99000000,0.00411500
463,9450.37000000,0.00149600,9524.00000000,0.05000000
464,9450.25000000,0.00399700,9524.02000000,0.07449400
465,9450.00000000,18.38294800,9524.06000000,0.05214300
466,9449.90000000,0.00764700,9524.07000000,0.22022600
467,9449.66000000,0.00362700,9524.13000000,0.00508600
468,9449.60000000,0.00147300,9524.18000000,0.00571500
469,9449.42000000,0.00484800,9524.32000000,0.01034200
470,9449.26000000,0.00600000,9524.34000000,0.00199300
471,9449.23000000,0.01914600,9524.35000000,0.00533000
472,9449.22000000,0.05230200,9524.37000000,0.00105000
473,9449.14000000,0.00333800,9524.45000000,0.02000000
474,9449.12000000,0.03615100,9524.47000000,0.20974900
475,9449.10000000,0.03174900,9524.50000000,0.04481400
476,9448.97000000,0.06523100,9524.51000000,0.08224000
477,9448.83000000,0.00126000,9524.53000000,0.10324800
478,9448.73000000,0.00931100,9524.56000000,0.01371400
479,9448.71000000,0.00200000,9524.57000000,0.01978600
480,9448.57000000,0.00113500,9524.59000000,0.02127200
481,9448.48000000,0.00177000,9524.65000000,0.00158300
482,9448.46000000,0.02116800,9524.67000000,0.01713000
483,9448.38000000,0.00793700,9524.73000000,0.00840400
484,9448.27000000,0.00135000,9524.88000000,0.04760700
485,9448.00000000,0.42415200,9524.99000000,0.00112900
486,9447.95000000,0.00423400,9525.00000000,0.30740600
487,9447.75000000,0.01185000,9525.14000000,0.00576100
488,9447.70000000,0.00294300,9525.39000000,0.00220000
489,9447.68000000,0.00108100,9525.41000000,0.02125600
490,9447.65000000,0.00309300,9525.44000000,0.12080700
491,9447.62000000,0.00877900,9525.47000000,0.09598100
492,9447.55000000,0.00200100,9525.51000000,0.04693100
493,9447.52000000,0.00181700,9525.55000000,0.00111900
494,9447.51000000,0.00489000,9525.63000000,1.65856500
